branch,loss_raw_mae_vs_constant,loss_ema_mae_vs_constant,loss_ema_max_abs_vs_constant,probe_loss_mae_vs_constant,nce,mean_elr_relative_error,max_elr_relative_error,mean_target_norm_relative_error,max_target_norm_relative_error,mean_angular_step,angular_step_mae_vs_constant,final_train_loss_ema,final_probe_loss,final_val_loss,final_val_top1
constant,0.0,0.0,0.0,0.0,0.0,2.5596297970299202e-08,2.354291432567679e-07,2.5597828027861574e-08,2.354291979145273e-07,0.004321610456253353,,0.0443366909893397,3.9287274926900864,3.9873151111602794,0.3509
cyclic,0.2289798814229667,0.22589679949919975,0.73774301381761,0.1622164168528148,0.11236267954951544,4.50639191403517e-08,2.919215387249224e-07,3.142159353371556e-08,2.381056134481696e-07,0.004270314297885918,,0.0996817452952913,3.584995925426483,3.6291787857055664,0.3656
linear_down,0.23630616967220391,0.2282248840206189,0.6379952922619182,0.15835347456591467,0.1135206853983116,4.36556884642291e-08,2.883463813772812e-07,2.897697291329239e-08,2.3810133598090038e-07,0.004258774144487138,,0.3416554363311513,3.4402740448713303,3.4129210052490238,0.3641
linear_up,0.07147604334567274,0.03715952446314181,0.12657077865732402,0.05759724599974496,0.01848341255263855,4.434336421289658e-08,2.935561290062348e-07,3.0099521172591686e-08,2.512936987386638e-07,0.00432553866641192,,0.042371997127174,4.016134545207024,4.072717564773559,0.3444
